year,month,service_type,url,has_parquet,http_status,content_length,checked_at,notes
2019,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2020-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2020,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
