service_type,year,month,url,has_parquet,http_status,content_length,checked_at
yellow,2025,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-07.parquet,True,200,66943728,2025-09-22T03:18:41Z
yellow,2025,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-08.parquet,False,403,0,2025-09-22T03:18:41Z
yellow,2025,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-09.parquet,False,403,0,2025-09-22T03:18:42Z
yellow,2025,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-10.parquet,False,403,0,2025-09-22T03:18:42Z
yellow,2025,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-11.parquet,False,403,0,2025-09-22T03:18:42Z
yellow,2025,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-12.parquet,False,403,0,2025-09-22T03:18:43Z
green,2015,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-01.parquet,True,200,22732044,2025-09-22T03:18:43Z
green,2015,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-02.parquet,True,200,23596236,2025-09-22T03:18:43Z
green,2015,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-03.parquet,True,200,25895603,2025-09-22T03:18:44Z
green,2015,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-04.parquet,True,200,25043726,2025-09-22T03:18:44Z
green,2015,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-05.parquet,True,200,26706231,2025-09-22T03:18:44Z
green,2015,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-06.parquet,True,200,24706467,2025-09-22T03:18:45Z
green,2015,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-07.parquet,True,200,23394300,2025-09-22T03:18:45Z
green,2015,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-08.parquet,True,200,23292101,2025-09-22T03:18:45Z
green,2015,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-09.parquet,True,200,22720762,2025-09-22T03:18:45Z
green,2015,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-10.parquet,True,200,24605888,2025-09-22T03:18:46Z
green,2015,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-11.parquet,True,200,23209037,2025-09-22T03:18:46Z
green,2015,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-12.parquet,True,200,24334716,2025-09-22T03:18:46Z
green,2016,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-01.parquet,True,200,22088171,2025-09-22T03:18:46Z
green,2016,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-02.parquet,True,200,22771978,2025-09-22T03:18:47Z
green,2016,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-03.parquet,True,200,23783208,2025-09-22T03:18:47Z
green,2016,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-04.parquet,True,200,23357449,2025-09-22T03:18:47Z
green,2016,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-05.parquet,True,200,23493391,2025-09-22T03:18:47Z
green,2016,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-06.parquet,True,200,21485727,2025-09-22T03:18:48Z
green,2016,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-07.parquet,True,200,20529044,2025-09-22T03:18:48Z
